,dom_books,for_books,local_mat,nonbook_mat,elec_mat,serials,ann_growth,ann_weeding,lib_site_area,lib_build_area,total_seats,user_comps,self_srv_machines,full_time,part_time,support_staff,total_budget,acq_budget,open_days,avg_week_hours,reg_members,lib_visitors,service_recip,borrowers,loans,interlib_loans,info_serv_requests,web_access,user_ed_sessions,user_ed_partic,prog_sessions,prog_partic,disab_mat,vuln_group_budget,total_settlement,acq_budget_settlement,future_acq_budget_settlement
281,41478,1120,15,369,0,80,6546,1856,4530,4480,745,22,5,13,7,1133,1443140,76952,295,52,4557,154196,733798,16321,146784,6360,156,209025,0,0,65,9380,0,0,1227575,227134,130893.0
282,206897,7195,139,3672,0,21,10224,10436,21501,12807,560,24,12,8,0,3,2346899,133798,137,70,43730,98516,512030,3763,463499,35156,0,723073,0,0,34,11467,3090,0,2576868,137600,138255.0
283,115271,3479,355,4138,5629,118,25607,3237,22736,2943,384,47,3,46,6,94,647830,72742,308,78,32057,89995,733798,75792,77226,15995,48,205778,0,0,10,1185,1764,0,795873,72742,74477.0
284,86083,8115,728,2105,5629,122,5961,4031,6663,5352,549,45,4,5,3,85,879470,82742,307,78,14856,175277,733798,39430,186386,24744,0,256461,0,0,20,1473,1063,0,1088236,76096,67427.0
285,93364,3640,294,2959,9186,119,4787,4025,1020,2893,392,28,5,22,1,96,893625,72742,307,70,15148,133155,733798,34114,129601,22592,100,248851,0,0,29,3141,337,0,758423,77533,59448.0
286,106724,16531,204,2604,5629,123,4710,3837,3172,6307,454,40,5,10,9,119,982853,82741,307,87,997,134373,733798,93225,183757,18683,46,313072,0,0,29,2576,159,0,981376,61314,111198.0
287,57270,3528,31,734,5629,120,5426,3886,788,1956,209,13,4,8,9,249,747351,72741,307,78,6367,161647,733798,34794,172949,16845,0,221436,0,0,18,357,411,0,894221,61294,59435.0
288,127022,4888,145,3483,5629,120,4778,9148,596,2667,328,30,3,10,11,259,835054,72742,307,83,52588,156287,733798,60318,139949,22077,64,3238001,0,0,13,1468,1007,2743,774776,67064,71825.0
289,92095,4845,276,1666,9168,105,3510,129,3250,4426,422,28,5,22,5,330,904185,27742,301,70,18841,132904,733798,34742,133631,17367,76,253630,0,0,19,1049,242,0,924941,52252,74522.0
290,113772,0,70,4199,10748,30,6258,0,14835,8284,106,8,3,34,0,0,776333,66500,205,54,45451,30621,79431,2983,19305,14,1357,134517,0,0,121,21596,864,30640,1942233,62000,62000.0
291,56253,0,10,1348,6347,20,8908,1778,12931,4485,700,82,5,35,0,0,400582,38880,256,54,1130,7986,79431,5888,7403,23,3120,47052,0,0,30,529,23,0,397661,41521,40500.0
292,57251,80,90,0,3255,11,3502,0,1170,1046,184,3,1,6,5,5,293589,31176,300,74,10199,35100,79431,1785,23722,5,18,0,3,15,8,700,310,0,302987,61059,29952.0
293,28286,494,13,0,3255,1,4798,0,860,1454,166,5,3,6,6,2,413646,30122,300,74,2416,35470,79431,1875,43692,0,6,0,12,84,9,1302,0,0,428294,61037,29955.0
294,16755,0,2,0,0,2,811,0,179,378,60,4,0,10,3,0,128448,10200,232,52,941,4545,69693,595,2785,666,0,32448,0,0,0,0,75,0,87908,10000,13535.0
295,45746,653,3717,0,895,108,6515,0,1200,1985,160,38,2,24,13,8,1265944,106520,298,72,6905,19762,251889,45725,75484,38364,6240,91074,0,0,322,56673,24,0,1158994,102526,97920.0
296,15488,1216,0,0,5,23,3576,5,1000,714,183,4,3,2,7,3,293461,21540,195,54,540,18072,177125,1050,25983,0,12348,29899,11,899,11,899,199,9452,341068,46860,40000.0
297,124970,0,80,3916,19229,125,6199,0,1717,1148,222,13,3,8,6,9,1874738,82625,297,60,13027,171033,1032741,9093,122071,9774,7696,33198,1,53,9,2803,1411,10389,788157,90827,83790.0
298,104022,17351,16,6248,7894,32,4755,7557,1140,1362,117,16,1,20,3,41,866781,23800,320,56,42385,310186,510956,8637,204611,32552,93290,786280,1,12,123,48805,283,1710,885348,56588,46900.0
299,170041,7113,0,8477,7894,84,12796,13985,17946,6526,683,75,7,53,14,37,3326029,206722,324,55,194193,499845,510956,21248,288571,52228,152844,786280,0,0,39,137721,5567,10956,3239885,214941,220222.0
300,79836,3746,0,2103,0,55,2443,6108,7523,3355,355,24,2,18,2,12,756302,80460,300,78,33329,187890,351277,12801,289337,8369,205048,1170947,0,0,24,3616,50,0,619978,10892,78798.0
301,15982,1222,0,0,70652,41,4486,10358,7317,2974,480,21,4,10,5,3,437970,16220,119,73,918,13868,887015,1546,26629,970,0,66026,0,0,15,1440,81,6000,321562,111921,114790.0
302,58568,0,0,0,0,12,980,1323,1143,1165,130,4,0,4,2,1,148000,16000,220,70,1420,4842,48631,480,3511,6,1200,0,6,90,2,140,0,0,140000,30000,24000.0
303,18119,172,0,0,51316,14,5250,1214,190,286,76,2,0,8,4,0,204602,25004,300,62,1221,15979,930948,14787,374073,9399,1514,255053,0,0,11,300,1587,0,223042,21302,20559.0
304,70945,0,184,1835,7770,35,4016,5032,1962,1442,235,34,1,8,1,5,389454,54960,300,54,1360,9175,114483,1004,24361,15,0,20796,0,0,4,100,1277,0,472648,50440,48000.0
305,71070,22,136,1791,7082,41,4307,5299,2911,1511,50,25,2,8,1,5,313598,54960,300,54,1389,13526,114483,942,25120,737,0,20796,0,0,10,230,89,0,283973,50434,48000.0
306,58868,601,236,2300,7770,58,14037,64,12405,3328,253,26,3,26,3,122,1430147,251980,300,58,7688,78850,114483,4684,111408,1106,30088,20796,0,0,50,2399,803,4494,1454805,189482,198000.0
307,43540,2559,107,565,25693,22,6806,6574,1767,596,137,15,2,10,7,47,440803,61260,282,68,21910,87885,533042,10744,85440,27508,2796,79719,32,2185,94,25794,209,7200,538199,56747,70269.0
308,50200,1034,0,883,0,25,2151,3429,702,953,188,4,0,7,4,42,398998,30780,259,54,13200,36698,218735,2655,43214,1179,20720,634598,0,0,35,6219,171,0,389522,3127,29994.0
309,55267,5380,158,2277,1,49,2050,1542,544,1085,180,6,0,14,7,47,811125,35000,239,45,60986,0,1077508,3462,2500,0,372,0,95,415,51,910,501,0,92000,2000,17651.0
310,77894,4128,0,0,0,43,3533,4952,2776,2338,260,13,5,25,3,2,685700,57000,274,74,7659,127774,265304,28596,88167,1101,8220,196713,1,12,32,4362,298,1290,537477,50000,50000.0
311,73296,5240,0,1721,8908,81,9686,3060,4736,1910,231,24,4,10,8,159,813902,111360,300,70,11674,120600,387289,6320,175320,6815,5158,189609,3,42,51,4504,4276,4000,718281,100603,89642.0
312,98604,3488,225,1866,3513,93,3279,65,9596,1508,180,25,4,11,5,16,691289,56064,288,78,6934,13662,28331,1222,23046,3,3312,418067,3,10,39,4231,6883,6954,784109,50994,55436.0
313,146183,3653,89,3996,0,62,5636,5,205193,18350,454,52,4,166,3,23,2022210,124790,274,69,37480,236528,306003,16747,192875,78848,65586,120422,19,339,51,5708,1591,23971,2057719,189790,179790.0
